run,operation,started,time,status,label,base_loss,batch_size,csv_train,decay_f,exp,lambd,load_checkpoint,lr,metric,model_name,n_classes,n_epochs,optimizer,oversample,patience,pretrained,save_model,step,acc,auc,kappa
b16ebf00,eyepacs:train,2020-03-13 10:53:12,0:17:04,completed,base_loss=ce batch_size=8 csv_train=train_clarity.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50 n_classes=5 n_epochs=50 optimizer=sgd oversample=8/3/1/1/1 patience=5 pretrained=yes save_model=no,ce,8,train_clarity.csv,0.1,1,0,False,0.0001,auc,resnet50,5,50,sgd,8/3/1/1/1,5,True,False,0,0.5174999833106995,0.8520569801330566,0.7234799861907959
b8f49ae6,eyepacs:train,2020-03-13 10:34:48,0:18:24,completed,base_loss=ce batch_size=8 csv_train=train_clarity.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnext50_sws n_classes=5 n_epochs=50 optimizer=sgd oversample=8/3/1/1/1 patience=5 pretrained=yes save_model=no,ce,8,train_clarity.csv,0.1,1,0,False,0.001,auc,resnext50_sws,5,50,sgd,8/3/1/1/1,5,True,False,0,0.5600000023841858,0.8590430021286011,0.7160959839820862
c71e4179,eyepacs:train,2020-03-13 10:21:17,0:13:30,completed,base_loss=ce batch_size=8 csv_train=train_clarity.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnext50 n_classes=5 n_epochs=50 optimizer=sgd oversample=8/3/1/1/1 patience=5 pretrained=yes save_model=no,ce,8,train_clarity.csv,0.1,1,0,False,0.001,auc,resnext50,5,50,sgd,8/3/1/1/1,5,True,False,0,0.5774999856948853,0.8574849963188171,0.7246689796447754
f5d37739,eyepacs:train,2020-03-13 10:09:04,0:12:13,completed,base_loss=ce batch_size=8 csv_train=train_clarity.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnet50_sws n_classes=5 n_epochs=50 optimizer=sgd oversample=8/3/1/1/1 patience=5 pretrained=yes save_model=no,ce,8,train_clarity.csv,0.1,1,0,False,0.001,auc,resnet50_sws,5,50,sgd,8/3/1/1/1,5,True,False,0,0.5350000262260437,0.8550339937210083,0.7275810241699219
7e3ed40f,eyepacs:train,2020-03-13 09:44:45,0:24:18,completed,base_loss=ce batch_size=8 csv_train=train_clarity.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnet50 n_classes=5 n_epochs=50 optimizer=sgd oversample=8/3/1/1/1 patience=5 pretrained=yes save_model=no,ce,8,train_clarity.csv,0.1,1,0,False,0.001,auc,resnet50,5,50,sgd,8/3/1/1/1,5,True,False,0,0.5425000190734863,0.8518440127372742,0.7095649838447571
fb275149,eyepacs:dr_grade_from_eyepacs_clarity,2020-03-13 09:44:44,5:21:05,completed,,,,,,,,,,,,,,,,,,,0,0.5450000166893005,0.8627380132675171,0.7715169787406921
d93c7cdd,eyepacs:train,2020-03-13 03:57:27,0:23:12,completed,base_loss=focal_loss batch_size=8 csv_train=train_artifact.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50_sws n_classes=6 n_epochs=50 optimizer=sgd oversample=1/5/1/2/2/5 patience=5 pretrained=yes save_model=no,focal_loss,8,train_artifact.csv,0.1,1,0,False,0.0001,auc,resnext50_sws,6,50,sgd,1/5/1/2/2/5,5,True,False,0,0.6650000214576721,0.8793370127677917,0.813086986541748
b02380d8,eyepacs:train,2020-03-13 03:06:59,0:50:28,completed,base_loss=focal_loss batch_size=8 csv_train=train_artifact.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50 n_classes=6 n_epochs=50 optimizer=sgd oversample=1/5/1/2/2/5 patience=5 pretrained=yes save_model=no,focal_loss,8,train_artifact.csv,0.1,1,0,False,0.0001,auc,resnext50,6,50,sgd,1/5/1/2/2/5,5,True,False,0,0.6675000190734863,0.8767639994621277,0.814598023891449
e12f77b9,eyepacs:train,2020-03-13 02:43:07,0:23:52,completed,base_loss=focal_loss batch_size=8 csv_train=train_artifact.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50_sws n_classes=6 n_epochs=50 optimizer=sgd oversample=1/5/1/2/2/5 patience=5 pretrained=yes save_model=no,focal_loss,8,train_artifact.csv,0.1,1,0,False,0.0001,auc,resnet50_sws,6,50,sgd,1/5/1/2/2/5,5,True,False,0,0.6349999904632568,0.8680350184440613,0.7914509773254395
f40f68d7,eyepacs:train,2020-03-13 02:00:21,0:42:45,completed,base_loss=focal_loss batch_size=8 csv_train=train_artifact.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50 n_classes=6 n_epochs=50 optimizer=sgd oversample=1/5/1/2/2/5 patience=5 pretrained=yes save_model=no,focal_loss,8,train_artifact.csv,0.1,1,0,False,0.0001,auc,resnet50,6,50,sgd,1/5/1/2/2/5,5,True,False,0,0.6499999761581421,0.8860329985618591,0.825609028339386
