run,operation,started,time,status,label,base_loss,batch_size,csv_train,decay_f,exp,lambd,load_checkpoint,lr,metric,model_name,n_epochs,optimizer,oversample,patience,pretrained,save_model,step,acc,auc,kappa
f65194b4,eyepacs:dr_grade_ALL_UW_AUC,2020-03-17 21:18:07,0:32:37,completed,,,,,,,,,,,,,,,,,,0,0.5799999833106995,0.8777040243148804,0.765936017036438
1389d736,eyepacs:train,2020-03-17 20:45:44,0:01:23,completed,base_loss=focal_loss batch_size=8 csv_train=train_od_UW.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,focal_loss,8,train_od_UW.csv,0.1,2,10,models/resnet50_eyepacs,0.0001,kappa,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.5714290142059326,0.8597990274429321,0.6859520077705383
9b4b1351,eyepacs:train,2020-03-17 20:43:49,0:01:55,completed,base_loss=focal_loss batch_size=8 csv_train=train_od_UW.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=experiments/best_auc_od_20Mar lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,focal_loss,8,train_od_UW.csv,0.1,2,10,experiments/best_auc_od_20Mar,0.0001,kappa,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.33333298563957214,0.8078359961509705,0.6361879706382751
e0b20699,eyepacs:train,2020-03-17 20:42:29,0:01:19,completed,base_loss=focal_loss batch_size=8 csv_train=train_od_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,focal_loss,8,train_od_UW.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.619047999382019,0.8739960193634033,0.7214840054512024
5d0e9349,eyepacs:train,2020-03-17 20:40:25,0:02:03,completed,base_loss=focal_loss batch_size=8 csv_train=train_od_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_auc_od_20Mar lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,focal_loss,8,train_od_UW.csv,0.1,1,10,experiments/best_auc_od_20Mar,0.0001,kappa,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.4761900007724762,0.8381869792938232,0.704675018787384
42aad8ae,eyepacs:train,2020-03-17 20:38:47,0:01:37,completed,base_loss=gls batch_size=8 csv_train=train_od_UW.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,gls,8,train_od_UW.csv,0.1,2,10,models/resnet50_eyepacs,0.0001,kappa,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.5714290142059326,0.8591560125350952,0.7299730181694031
45f03bc9,eyepacs:train,2020-03-17 20:35:08,0:03:39,completed,base_loss=gls batch_size=8 csv_train=train_od_UW.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=experiments/best_auc_od_20Mar lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,gls,8,train_od_UW.csv,0.1,2,10,experiments/best_auc_od_20Mar,0.0001,kappa,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.5714290142059326,0.8800190091133118,0.8307390213012695
d4097795,eyepacs:train,2020-03-17 20:33:34,0:01:33,completed,base_loss=gls batch_size=8 csv_train=train_od_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,gls,8,train_od_UW.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.5238100290298462,0.8663579821586609,0.7320910096168518
cc19b70c,eyepacs:train,2020-03-17 20:30:54,0:02:40,completed,base_loss=gls batch_size=8 csv_train=train_od_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_auc_od_20Mar lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,gls,8,train_od_UW.csv,0.1,1,10,experiments/best_auc_od_20Mar,0.0001,kappa,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.619047999382019,0.8753160238265991,0.8344069719314575
4da18682,eyepacs:train,2020-03-17 20:29:16,0:01:37,completed,base_loss=ce batch_size=8 csv_train=train_od_UW.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,ce,8,train_od_UW.csv,0.1,2,10,models/resnet50_eyepacs,0.0001,kappa,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.5714290142059326,0.8894370198249817,0.7184569835662842
