run,operation,started,time,status,label,base_loss,batch_size,csv_train,decay_f,exp,lambd,load_checkpoint,lr,metric,model_name,n_classes,n_epochs,optimizer,oversample,patience,pretrained,save_model,step,acc,auc,kappa
8f222635,eyepacs:train,2020-03-31 23:36:26,0:21:05,completed,base_loss=focal_loss batch_size=8 csv_train=train_q_1.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50 n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,focal_loss,8,train_q_1.csv,0.1,1,0,False,0.0001,auc,resnet50,2,50,sgd,1/1,5,True,False,0,0.7225000262260437,0.8022249937057495,0.0
0bb1dc28,eyepacs:dr_grade_quality_fl1,2020-03-31 23:36:25,5:29:04,completed,,,,,,,,,,,,,,,,,,,0,0.7549999952316284,0.8250430226325989,0.0
ee0550fb,eyepacs:train,2020-03-31 23:08:45,0:10:17,completed,base_loss=ce batch_size=8 csv_train=train_q_4.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50_sws n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_4.csv,0.1,1,0,False,0.0001,auc,resnext50_sws,2,50,sgd,1/1,5,True,False,0,0.7400000095367432,0.8156700134277344,0.0
68c97f6f,eyepacs:train,2020-03-31 22:59:51,0:08:54,completed,base_loss=ce batch_size=8 csv_train=train_q_4.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50_sws n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_4.csv,0.1,1,0,False,0.0001,auc,resnet50_sws,2,50,sgd,1/1,5,True,False,0,0.75,0.8280839920043945,0.0
bb899dc0,eyepacs:train,2020-03-31 22:37:25,0:22:26,completed,base_loss=ce batch_size=8 csv_train=train_q_4.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50 n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_4.csv,0.1,1,0,False,0.0001,auc,resnext50,2,50,sgd,1/1,5,True,False,0,0.7699999809265137,0.8342940211296082,0.0
e987a914,eyepacs:train,2020-03-31 22:23:43,0:13:41,completed,base_loss=ce batch_size=8 csv_train=train_q_4.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50 n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_4.csv,0.1,1,0,False,0.0001,auc,resnet50,2,50,sgd,1/1,5,True,False,0,0.7325000166893005,0.8251029849052429,0.0
84facbeb,eyepacs:train,2020-03-31 22:12:28,0:11:14,completed,base_loss=ce batch_size=8 csv_train=train_q_3.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50_sws n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_3.csv,0.1,1,0,False,0.0001,auc,resnext50_sws,2,50,sgd,1/1,5,True,False,0,0.737500011920929,0.8181359767913818,0.0
6ed95e94,eyepacs:train,2020-03-31 22:05:36,0:06:51,completed,base_loss=ce batch_size=8 csv_train=train_q_3.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50_sws n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_3.csv,0.1,1,0,False,0.0001,auc,resnet50_sws,2,50,sgd,1/1,5,True,False,0,0.7250000238418579,0.8181340098381042,0.0
dd66f593,eyepacs:train,2020-03-31 21:54:21,0:11:15,completed,base_loss=ce batch_size=8 csv_train=train_q_3.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50 n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_3.csv,0.1,1,0,False,0.0001,auc,resnext50,2,50,sgd,1/1,5,True,False,0,0.7300000190734863,0.8109800219535828,0.0
82a2775b,eyepacs:train,2020-03-31 21:42:42,0:11:39,completed,base_loss=ce batch_size=8 csv_train=train_q_3.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50 n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_3.csv,0.1,1,0,False,0.0001,auc,resnet50,2,50,sgd,1/1,5,True,False,0,0.7475000023841858,0.8197429776191711,0.0
